  trainz_ver_debug                      "Versione build Trainz: "
  headcode_none                         "Nessuno"
  headcode_all                          "Tutte le luci"
  headcode_tail                         "Luci posteriori"
  headcode_branch                       "Diramazione"
  headcode_express                      "Espresso passeggeri"
  headcode_express_f1                   "Espresso merci 1"
  headcode_express_f2                   "Espresso merci 2"
  headcode_express_f3                   "Espresso merci 3"
  headcode_goods                        "Merci"
  headcode_light                        "Trasporto leggero"
  headcode_thru_freight                 "Through Freight"
  headcode_tvs                          "TV Series Configuration"
  headcode_name                         "Headcodes"
  headcode_select                       "Currently equipped headcode: $0."
  headcode_description                  "Select a Headcode from the following options:"
  skin_name                             "Liveries"
  skin_select                           "Select Livery: $0."
  skin_description                      "Select a Livery from the following options:"
  faces_name                            "Faces"
  faces_select                          "Currently selected face: $0."
  faces_description                     "Select a Face from the following options:"
  menu                                  "Menu"
  tooltip_return                        "Torna al menu principale"
  tooltip_reset                         "Ripristina"
  eye_menu                              "Impostazione occhi"
  eye_rotation_h                        "Occhi sinistra/destra:"
  eye_rotation_v                        "Occhi su/giù:"
  reset_controls                        "Ripristina controlli"
  recording_start                       "Inizia registrazione"
  recording_stop                        "Ferma registrazione"
  recording_anim                        "Riproduci animazione"
  target_lock                           "Blocca obiettivo"
  target_select                         "Seleziona obiettivo"
  target_select_eye                     "Seleziona obiettivo occhi"
  target_looking                        "Seleziona treno, vagone o carrozza...."
  wheelslip                             "Slittamento ruote (Solo attivo in modalità realistica)"
  shake                                 "Scuoti"
  shake_intensity                       "Intensità scossa: "
  shake_period                          "Periodo scossa: "
  couple_disable                        " Disabilita accoppiamento"
