trainz_ver_debug                      "Номер Trainz-Build: "
headcode_none                         "Отсутствует"
headcode_all                          "Все огни"
headcode_tail                         "Хвостовые огни"
headcode_branch                       "Линия"
headcode_express                      "Пассажирский Экспресс"
headcode_express_f1                   "Грузовой Экспресс 1"
headcode_express_f2                   "Грузовой Экспресс 2"
headcode_express_f3                   "Грузовой Экспресс 3"
headcode_goods                        "Товары"
headcode_light                        "Свет"
headcode_thru_freight                 "Грузовой"
headcode_tvs                          "Конфигурация сериала"
headcode_name                         "Головной Код"
headcode_select                       "Текущий головной код: $0."
headcode_description                  "Выберите головной код из вариантов ниже:"
skin_name                             "Ливрей"
skin_select                           "Текущий ливрей: $0."
skin_description                      "Выберите ливрей из вариантов:"
faces_name                            "Лица"
faces_select                          "Текущее выбранное лицо: $0."
faces_description                     "Выберите лицо из вариантов:"
menu                                  "Меню"
tooltip_return                        "Выйти в главное меню."
tooltip_reset                         "Сбросить настройку глаз"
eye_menu                              "Управление глазами"
eye_rotation_h                        "Поворот глаз Лево/Право:"
eye_rotation_v                        "Поворот глаз Вверх/Вниз:"
reset_controls                        "Сбросить настройки"
recording_start                       "Старт записи"
recording_stop                        "Остановить запись"
recording_anim                        "Воспроизвести анимацию"
target_lock                           "Трекинг глаз"
target_select                         "Запустить трекинг глаз"
target_select_eye                     "Выбрать объект для слежения"
target_looking                        "Выбрать Поезд, Вагон, или Автомобиль...."
wheelslip                             "Боксование (Только при включенном реалистичном режиме)"
shake                                 "Тряска"
shake_intensity                       "Интенсивность тряски: "
shake_period                          "Переодичность тряски: "
couple_disable                        "Отключить сцепки"
couple_disable_desc                   "Отключить сцепки для маневровых работ."
bind_wheesh                           "(привязать к хрипу)"
